movie,length_hrs,length_min,release_date,opening_weekend_us,gross_us,gross_world
Iron Man,2,6,2008-05-02,98618668,319034126,585796247
The Incredible Hulk,1,52,2008-06-12,55414050,134806913,264770996
Iron Man 2,2,4,2010-05-07,128122480,312433331,623933331
Thor,1,55,2011-05-06,65723338,181030624,449326618
Captain America: The First Avenger,2,4,2011-07-22,65058524,176654505,370569774
Marvel's The Avengers,2,23,2012-05-04,207438708,623357910,1518815515
Iron Man 3,2,10,2013-05-03,174144585,409013994,1214811252
Thor: The Dark World,1,52,2013-11-08,85737841,206362140,644783140
Captain America: The Winder Soldier,2,16,2014-04-04,95023721,259766572,714421503
Guardians of the Galaxy,2,1,2014-08-01,94320883,333718600,773341024
Avengers: Age of Ultron,2,21,2015-05-01,191271109,459005868,1402809540
Ant-Man,1,57,2015-07-17,57225526,180202163,519311965
Captain America: Civil War,2,27,2016-05-06,179139142,408084349,1153561649
Doctor Strange,1,55,2016-11-04,85058311,232641920,677796076
Guardians of the Galaxy Vol. 2,2,16,2017-05-05,146510104,389813101,863756051
Spiderman: Homecoming,2,13,2017-07-07,117027503,334201140,880166924
Thor: Ragnarok,2,10,2017-11-03,122744989,315058289,853983829
Black Panther,2,14,2018-02-16,202003951,700426566,1347598739
Avengers: Infinity War,2,29,2018-04-27,257698183,678815482,2048359754
Ant-Man and the Wasp,1,58,2018-07-06,75812208,216648740,622674139
Captain Marvel,2,3,2019-03-08,153433423,426829839,1128437854
Avengers: Endgame,3,1,2019-04-26,357115007,858373000,2797800564
Spiderman: Far from Home,2,9,2019-07-02,92579212,390532085,1131927996
Black Widow,2,14,2021-07-09,80370000,183650000,379750000
Shang-Chi and the Legend of the Ten Rings,2,12,2021-09-03,75390000,224540000,432220000
Eternals,2,37,2021-11-05,71300000,164870000,401730000
Spider-Man: No Way Home,2,28,2021-12-17,260140000,814810000,1921000000
Doctor Strange in the Multiverse of Madness,2,6,2022-05-06,187420000,411330000,952220000
Thor: Love and Thunder,1,59,2022-07-08,144170000,343260000,760930000
Black Panther: Wakanda Forever,2,41,2022-11-11,181340000,453830000,859210000
Ant-Man and the Wasp: Quantumania,2,4,2023-02-17,106110000,214510000,476070000
Guardians of the Galaxy Vol. 3,2,30,2023-05-05,118410000,358990000,845560000
The Marvels,1,45,2023-11-10,46110000,84500000,199710000
Deadpool & Wolverine,2,8,2024-07-26,211440000,636750000,1338000000
